projectID,sciVocTopics
101039048,"['noble gases', 'neutrinos']"
101039060,"['prehistory', 'computational science', 'nutrition', 'paleoecology', 'bioarchaeology']"
101039066,"['ecosystems', 'climatic changes', 'forestry']"
101039090,"['didactics', 'reinforcement learning', 'virtual reality']"
101039098,['quantum physics']
101039103,"['microfluidics', 'soft matter physics', 'statistical mechanics', 'additive manufacturing', 'numerical analysis']"
101039110,"['internet', 'revolutions', 'sensors', 'semiconductivity', 'piezoelectrics']"
101039115,['alkaline earth metals']
101039127,"['thermodynamics', 'sensors']"
101039145,"['neurobiology', 'computational science', 'homeostasis']"
101039152,"['neurobiology', 'pattern recognition', 'statistics and probability', 'cognitive psychology']"
101039174,"['recycling', 'physiology']"
101039196,"['ontology', 'software development', 'applied mathematics']"
101039198,"['artificial intelligence', 'materials engineering', 'robotics', 'additive manufacturing', 'numerical analysis']"
101039206,['cognitive neuroscience']
101039208,"['DNA', 'genomes']"
101039222,"['vehicle engineering', 'transport planning', 'navigation systems']"
101039226,"['cognitive neuroscience', 'computational neuroscience', 'neurology', 'cognitive psychology']"
101039252,"['microeconomics', 'fertility']"
101039265,"['oncology', 'genomes']"
101039270,"['drug discovery', 'wastewater treatment processes', 'antibiotics', 'ecosystems', 'antibiotic resistance']"
101039271,"['prehistory', 'ancient history', 'underwater archaeology', 'bioarchaeology']"
101039272,"['ethnoarchaeology', 'biodiversity conservation', 'evolutionary ecology', 'data processing']"
101039294,['sensors']
101039296,"['social psychology', 'social anthropology', 'ideologies', 'mathematical model']"
101039320,"['inflammatory bowel disease', 'lipids', 'nutrition', 'enzymes']"
101039339,"['microscopy', 'spectroscopy']"
101039348,"['sedimentology', 'paleoclimatology', 'hydrology', 'physical oceanography', 'climatic changes']"
101039349,"['paediatric cardiology', 'tissue engineering', 'transplantation']"
101039354,"['drug discovery', 'proteomics', 'DNA', 'genomes']"
101039361,['quantum physics']
101039375,"['microscopy', 'sensors', 'laser physics']"
101039376,['sustainability sciences']
101039378,"['data science', 'sign language', 'computer vision']"
101039399,"['electric batteries', 'inorganic compounds']"
101039402,"['ecohydrology', 'sustainable agriculture', 'sustainability sciences', 'natural resources management', 'sustainable economy']"
101039416,"['history', 'textiles', 'archaeology']"
101039421,"['transition metals', 'electroporation']"
101039426,"['hydrology', 'water management']"
101039429,['governance']
101039433,['philosophy']
101039436,['deep learning']
101039438,['homeostasis']
101039446,"['virology', 'aliphatic compounds', 'energy and fuels']"
101039447,"['ethnology', 'social inequalities', 'social psychology']"
101039452,"['exoplanetology', 'spectroscopy']"
101039455,"['social inequalities', 'taxation']"
101039467,"['drug discovery', 'geometry', 'additive manufacturing', 'leukemia']"
101039481,"['software', 'soft robotics', 'distillation', 'machine learning']"
101039493,"['autoimmune diseases', 'pathology', 'personalized medicine', 'physiology']"
101039500,"['microscopy', 'superconductivity', 'spectroscopy']"
101039501,"['evolutionary biology', 'chromosomes', 'genomes']"
101039531,"['anatomy and morphology', 'muscular dystrophies', 'pathophysiology', 'genetic engineering']"
101039532,"['fisheries', 'satellite technology', 'nutrition']"
101039538,"['virology', 'infectious diseases', 'antivirals']"
101039541,"['evolutionary biology', 'genomes', 'microbiology']"
101039545,"['ecology', 'sustainable economy']"
101039556,"['bacteriology', 'medicinal chemistry', 'planets', 'nucleotides', 'enzymes']"
101039567,"['ecosystems', 'entomology', 'climatic changes', 'simulation software', 'biogeochemistry']"
101039572,"['history', 'revolutions', 'arithmetics', 'history of literature', 'commerce']"
101039576,['acoustics']
101039578,['microfluidics']
101039583,"['nutrition', 'ecosystems']"
101039588,"['productivity', 'ecosystems']"
101039592,"['photocatalysis', 'biocatalysis', 'sustainable economy', 'enzymes']"
101039636,"['transition metals', 'biomolecules', 'sensors', 'piezoelectrics']"
101039641,"['racial inequality', 'employment']"
101039648,"['governance', 'pollution', 'law']"
101039651,['exoplanetology']
101039657,['multiphysics']
101039676,"['natural language processing', 'computer vision', 'dynamical systems', 'deep learning', 'heuristic programming']"
101039683,"['nanocrystals', 'quantum optics', 'photons', 'spectroscopy']"
101039692,"['autonomous vehicles', 'mathematics', 'machine learning']"
101039706,"['alkaline earth metals', 'fruit growing', 'stroke', 'data processing']"
101039711,"['prehistory', 'paleoecology', 'ecosystems', 'climatic changes']"
101039712,"['graphic design', 'cognitive neuroscience', 'computational intelligence']"
101039716,"['mycology', 'biological interactions', 'climatic changes']"
101039734,"['history', 'epigenetics']"
101039746,"['solar energy', 'microscopy', 'energy conversion']"
101039748,"['electric batteries', 'electromagnetism and electronics', 'alkali metals', 'inorganic compounds']"
101039756,"['particle accelerator', 'law']"
101039758,['databases']
101039760,"['proteomics', 'ecosystems']"
101039762,"['fluid dynamics', 'partial differential equations']"
101039764,"['developmental biology', 'ophthalmology', 'stem cells', 'mathematical model']"
101039782,"['sleep disorders', 'cognitive neuroscience']"
101039794,['materials engineering']
101039795,"['big data', 'remote sensing', 'climatic changes', 'forestry']"
101039802,"['alkali metals', 'transition metals']"
101039804,"['sensors', 'desalination']"
101039805,['revolutions']
101039824,['agriculture']
101039827,"['signal processing', 'fourier analysis', 'algebraic topology', 'mathematical model', 'computational intelligence']"
101039841,"['bacteriology', 'immunology']"
101039843,"['bacteriology', 'history', 'virology', 'ecosystems', 'genomes']"
101039844,"['astrophysics', 'solar astronomy']"
101039854,['soft matter physics']
101039862,"['genetics', 'molecular genetics', 'proteins', 'evolutionary biology']"
101039864,"['databases', 'ethnomusicology']"
101039904,['philosophy']
101039913,"['algebra', 'combinatorics']"
101039914,['databases']
101039920,"['modern history', 'ecology', 'ethnomusicology', 'climatic changes']"
101039927,"['proteins', 'mutation', 'antibiotics', 'microbiology']"
101039928,"['combined heat and power', 'genomes']"
101039945,"['epilepsy', 'surgery', 'proteins', 'diabetes', 'oncology']"
101039953,"['superconductivity', 'spectroscopy']"
101039994,"['organic reactions', 'polymer sciences', 'catalysis']"
101039995,"['genetics', 'mammalogy', 'embryology']"
101039998,"['bacteriology', 'oncology', 'physiology']"
101040002,"['human rights violations', 'microeconomics', 'social psychology', 'game theory']"
101040019,"['dark matter', 'sensors', 'philosophy']"
101040020,"['microfluidics', 'tissue engineering']"
101040021,"['extragalactic astronomy', 'particle physics', 'radio astronomy', 'black holes', 'dark matter']"
101040024,['astronomy']
101040025,['photocatalysis']
101040035,"['thermodynamics', 'nanotechnology', 'RNA']"
101040037,"['asteroids', 'exoplanetology']"
101040046,"['drug discovery', 'prostate cancer', 'proteomics', 'medicinal chemistry', 'pancreatic cancer']"
101040049,"['linguistics', 'history', 'psychology', 'geometry', 'philosophy']"
101040051,"['DNA', 'carbohydrates', 'enzymes']"
101040057,['superconductivity']
101040059,"['epistemology', 'ontology', 'journalism', 'anthropology']"
101040070,"['revolutions', 'democracy', 'civil society', 'globalization', 'international protection of human rights']"
101040088,['software']
101040117,"['sensors', 'geometry']"
101040122,['taxation']
101040128,['biosensors']
101040134,"['productivity', 'business and management']"
101040138,"['alzheimer', 'proteins', 'biophysics', 'histology', 'structural biology']"
101040152,['ancient history']
101040153,"['coating and films', 'semiconductivity', 'machine learning', 'photovoltaic']"
101040160,"['neutron stars', 'astrophysics', 'exoplanetology']"
101040163,"['revolutions', 'government systems']"
101040164,"['biochemistry', 'social inequalities', 'spectroscopy']"
101040169,"['particle physics', 'dark matter', 'optics', 'physical cosmology']"
101040179,"['particle accelerator', 'photochemistry', 'quantum computers', 'superconductivity']"
101040188,"['pandemics', 'monetary and finances', 'coronaviruses']"
101040193,['electrolysis']
101040197,"['photochemistry', 'quantum field theory', 'spintronics', 'quantum computers', 'spectroscopy']"
101040214,"['bacteriology', 'RNA', 'gastroenterology']"
101040227,"['black holes', 'galaxy evolution']"
101040238,['composites']
101040247,"['psychiatry', 'pharmaceutical drugs']"
101040267,"['mortality', 'proteins', 'mutation']"
101040270,['psychology']
101040297,"['journalism', 'history', 'natural sciences', 'pandemics', 'coronaviruses']"
101040302,"['didactics', 'modern history']"
101040311,"['bacteriology', 'virology', 'proteins', 'biological interactions', 'entomology']"
101040341,"['lab on a chip', 'crystallography', 'sustainable economy', 'geothermal energy']"
101040353,"['thermodynamics', 'computational science', 'cardiovascular diseases', 'machine learning', 'chemical sciences']"
101040355,"['neurobiology', 'alzheimer', 'multiple sclerosis', 'parkinson', 'pharmacology and pharmacy']"
101040356,"['photochemistry', 'quantum chemistry', 'computer and information sciences', 'molecular and chemical physics', 'laser physics']"
101040374,"['pandemics', 'dementia', 'philosophy']"
101040376,"['nursing', 'sensors', 'physiology', 'ultrasound', 'spectroscopy']"
101040378,"['neurobiology', 'microscopy']"
101040379,"['microfluidics', 'lab on a chip', 'energy and fuels']"
101040383,"['bacteriology', 'virology', 'proteins', 'coronaviruses', 'pancreatic cancer']"
101040391,"['primatology', 'dementia', 'implants']"
101040394,['electrocatalysis']
101040409,"['topology', 'photons']"
101040437,"['proteomics', 'grains and oilseeds', 'nutrition', 'allergology', 'ergonomics']"
101040439,['epistemology']
101040453,"['bacteriology', 'DNA', 'ecology', 'cell biology', 'stem cells']"
101040461,"['inorganic compounds', 'climatic changes', 'laser physics']"
101040462,"['neurobiology', 'biochemistry', 'biosensors', 'nutrition', 'agriculture']"
101040472,"['proteomics', 'enzymes']"
101040474,"['governance', 'history', 'government systems']"
101040475,"['history', 'economics', 'climatic changes', 'digital humanities']"
101040480,"['laser physics', 'spectroscopy']"
101040492,"['epidemiology', 'oncology']"
101040507,"['algebra', 'operator algebra', 'geometry']"
101040529,"['bacteriology', 'virology', 'proteins', 'immunology', 'genomes']"
101040535,"['modern and contemporary art', 'philosophy']"
101040547,"['photochemistry', 'catalysis', 'nano-materials', 'laser physics']"
101040548,"['microscopy', 'leukemia', 'homeostasis']"
101040572,"['crystals', 'gravitational waves', 'black holes', 'coating and films', 'metalloids']"
101040588,"['immunology', 'vaccines', 'DNA viruses']"
101040600,"['seismology', 'machine learning']"
101040624,['computer and information sciences']
101040625,"['climatic changes', 'biogeochemistry']"
101040641,"['proteins', 'stem cells', 'structural biology', 'spectroscopy']"
101040651,"['graphene', 'superconductivity']"
101040669,"['inorganic compounds', 'electrocatalysis', 'coating and films', 'energy conversion', 'spectroscopy']"
101040681,"['semiconductivity', 'spectroscopy']"
101040682,"['pathophysiology', 'nephrology']"
101040688,['superconductivity']
101040703,"['neurobiology', 'proteomics', 'alkaline earth metals']"
101040710,['leptons']
101040724,"['composites', 'ecology', 'evolutionary biology', 'behavioural ecology', 'animal husbandry']"
101040726,"['diabetic nephropathy', 'gene therapy', 'pathophysiology', 'personalized medicine', 'kidney diseases']"
101040745,"['proteins', 'cell biology']"
101040751,"['satellite technology', 'black holes', 'galaxy evolution']"
101040754,['productivity']
101040759,"['primatology', 'social psychology']"
101040760,"['particle accelerator', 'quarks']"
101040794,"['software', 'databases', 'geometry', 'algebraic geometry']"
101040798,"['electrochemistry', 'polymer sciences']"
101040800,"['bacteriology', 'cell biology', 'chromosomes']"
101040811,['superconductivity']
101040822,"['didactics', 'social inequalities', 'employment']"
101040850,"['nanotechnology', 'spectroscopy']"
101040854,['human migrations']
101040858,['satellite technology']
101040876,['software']
101040901,"['primatology', 'synthetic biology', 'sensors', 'magnetic resonance imaging']"
101040907,['algebra']
101040914,"['virology', 'proteins', 'coronaviruses', 'RNA', 'antivirals']"
101040935,"['arithmetics', 'geometry', 'algebraic geometry']"
101040938,"['literary theory', 'digital humanities']"
101040939,"['governance', 'history']"
101040948,['revolutions']
101040951,"['stem cells', 'sensors', 'ecosystems', 'physiology', 'microbiology']"
101040977,"['vascular diseases', 'pathophysiology', 'stem cells', 'organ on a chip', 'machine learning']"
101040978,"['psychology', 'ideologies']"
101040991,"['fermions', 'mathematics']"
101040994,"['thermodynamic engineering', 'energy conversion']"
101040996,"['fibers', 'oncology', 'immunotherapy', 'biomaterials', 'cells technologies']"
101040999,['history']
101041000,['topology']
101041040,"['signal processing', 'partial differential equations', 'machine learning', 'numerical analysis', 'mathematical model']"
101041064,"['big data', 'bayesian statistics', 'machine learning', 'mathematical model']"
101041069,"['agriculture', 'climatic changes']"
101041074,['topology']
101041077,"['sedimentology', 'history', 'inorganic compounds', 'ecosystems']"
101041087,"['neurobiology', 'mortality', 'physiology', 'machine learning']"
101041092,"['smart sensors', 'plate tectonics', 'natural disasters', 'fibre optics', 'data processing']"
101041097,['radio frequency']
101041101,"['anthropology', 'psychology']"
101041109,"['particle accelerator', 'quarks']"
101041110,"['productivity', 'nutrition', 'ecosystems', 'agriculture', 'climatic changes']"
101041115,"['relativistic mechanics', 'cavity optomechanics', 'quantum physics', 'quantum computers', 'theoretical physics']"
101041118,"['surgery', 'oncology', 'ultrasound']"
101041122,"['noble gases', 'planets', 'climatology', 'mass spectrometry', 'geology']"
101041131,"['metalloids', 'laser physics']"
101041145,['econometrics']
101041159,['optoelectronics']
101041177,"['virology', 'DNA viruses', 'genomes']"
101041192,"['recycling', 'employment', 'biocatalysis', 'biofuels', 'enzymes']"
101041201,"['mutation', 'chromosomes', 'genomes']"
101041206,"['pathophysiology', 'arteriosclerosis', 'nutrition', 'RNA']"
101041207,['cryptography']
101041208,['cryptography']
101041223,['governance']
101041224,['diabetes']
101041229,['soft matter physics']
101041231,"['transplantation', 'enzymes']"
101041245,"['ethnoarchaeology', 'proteins', 'lipids', 'nutrition', 'physical anthropology']"
101041246,"['employment', 'human migrations', 'law']"
101041249,"['quantum physics', 'symplectic topology', 'algebraic topology', 'classical mechanics', 'algebraic geometry']"
101041250,"['deep learning', 'robotics']"
101041255,"['colors', 'sustainable building']"
101041284,"['visual arts', 'civil society', 'art history', 'modern and contemporary art', 'digital humanities']"
101041298,['microscopy']
101041308,"['DNA', 'revolutions', 'mutation', 'oncology', 'genomes']"
101041316,"['elections', 'democracy']"
101041331,['oncology']
101041334,"['pandemics', 'taxation']"
101041342,"['fibers', 'composites', 'seismology']"
101041343,"['history', 'catalysis']"
101041354,"['agriculture', 'heredity', 'chromosomes', 'embryology']"
101041374,"['bacteriology', 'proteins', 'RNA']"
101041375,['databases']
101041376,"['judaism', 'medieval philosophy']"
101041418,"['biochemistry', 'microscopy', 'oncology', 'biophysics']"
101041421,"['bacteriology', 'virology', 'mycology', 'mutation', 'chromosomes']"
101041422,"['proteins', 'microscopy', 'immunology']"
101041424,"['proteins', 'polymer sciences', 'RNA']"
101041435,['quantum computers']
101041443,"['thermodynamics', 'nanotechnology', 'superconductivity']"
101041453,"['marine biology', 'satellite technology', 'climatic changes']"
101041461,"['gene therapy', 'lipids', 'mutation', 'nano-materials']"
101041464,"['hydrocarbons', 'semiconductivity']"
101041466,['exoplanetology']
101041475,"['general language studies', 'phonology']"
101041480,"['prehistory', 'biosphera', 'ecosystems', 'mammalogy']"
101041484,"['virology', 'immunology', 'HIV', 'vaccines']"
101041486,"['proteomics', 'genomes']"
101041487,"['quantum chemistry', 'mathematics']"
101041491,['geometry']
101041499,"['algebra', 'combinatorics', 'philosophy']"
101041516,"['optoelectronics', 'semiconductivity', 'data processing', 'photovoltaic']"
101041517,"['medieval history', 'religions']"
101041539,"['proteins', 'mutation', 'oncology', 'personalized medicine', 'laser physics']"
101041545,"['software', 'cryptography', 'e-governance']"
101041554,['photovoltaic']
101041570,"['proteins', 'evolutionary biology']"
101041596,"['history', 'philosophy']"
101041597,"['biosensors', 'polymer sciences', 'ecosystems', 'biological interactions', 'biomass']"
101041620,"['meteorites', 'planets']"
101041658,"['globalization', 'political economy']"
101041659,"['prostate cancer', 'DNA', 'topology', 'chromosomes', 'genomes']"
101041669,"['neurobiology', 'anatomy and morphology', 'machine learning']"
101041677,"['neurobiology', 'DNA', 'pathophysiology', 'dementia']"
101041696,['cryptography']
101041711,"['deep learning', 'computational intelligence']"
101041729,"['plant protection', 'pollution', 'climatic changes']"
101041730,"['computational science', 'oncology', 'pathology', 'deep learning']"
101041737,['transplantation']
101041743,['satellite technology']
101041744,"['thermodynamics', 'law']"
101041759,"['polymer sciences', 'chemical process engineering']"
101041762,"['pharmaceutical drugs', 'hydrocarbons', 'catalysis']"
101041768,"['productivity', 'sensors', 'botany']"
101041783,"['proteins', 'oncology']"
101041788,"['social anthropology', 'ideologies']"
101041799,"['primatology', 'coronaviruses', 'social work']"
101041808,"['DNA', 'mutation', 'oncology']"
101041809,"['optoelectronics', 'grains and oilseeds', 'sensors', 'semiconductivity', 'nano-materials']"
101041819,"['inorganic compounds', 'laser physics', 'law']"
101041824,"['political communication', 'governance', 'natural language processing', 'business models', 'law']"
101041826,"['ancient philosophy', 'ancient history', 'essays', 'history of literature', 'digital humanities']"
101041853,"['ancient history', 'philosophy']"
101041863,['automation']
101041867,"['genetics', 'proteomics', 'alzheimer']"
101041871,['biomaterials']
101041885,"['primatology', 'cetology', 'evolutionary biology', 'musicology', 'cognitive psychology']"
101041908,"['social inequalities', 'social psychology', 'employment', 'law']"
101041933,"['organic chemistry', 'catalysis', 'physical chemistry']"
101041936,"['software', 'diabetes']"
101041938,"['bacteriology', 'DNA', 'polymer sciences', 'RNA']"
101041939,"['proteins', 'microscopy', 'oncology']"
101041946,"['cultural anthropology', 'modern history', 'social anthropology']"
101041966,"['seismology', 'geometry', 'law']"
101041972,"['optical sensors', 'post-transition metals', 'geometry', 'cardiology', 'photons']"
101041975,['surgical procedures']
101041995,"['history', 'biosphera', 'agriculture', 'animal husbandry']"
101041998,"['alkali metals', 'inorganic compounds', 'alkaline earth metals', 'drainage basins', 'ecosystems']"
101042028,"['epidemiology', 'psychology']"
101042031,"['history', 'oncology', 'nucleotides', 'homeostasis']"
101042034,"['history', 'law']"
101042043,"['graphene', 'optical sensors', 'semiconductivity', 'metalloids']"
101042046,"['super resolution microscopy', 'proteins', 'spectroscopy']"
101042052,['video games']
101042055,"['history', 'revolutions', 'social inequalities']"
101042075,"['quantum physics', 'quantum computers', 'metalloids', 'fibre optics', 'nonlinear optics']"
