filename,status, issue_cause downloadURL, issue_cause accessURL
HORIZON Projects Deliverables (individual XML files),delivered
HORIZON Projects,delivered
HORIZON Projects Deliverables,delivered
HORIZON Report summaries (individual XML files),delivered
HORIZON Report summaries,delivered
CORDIS HORIZON organisations' collaboration network,issue,no download url available,Error: Request failed with status code 404
HORIZON Projects Deliverables,delivered
HORIZON Publications (individual XML files),delivered
HORIZON Projects Deliverables,delivered
HORIZON Projects (individual XML files),delivered
HORIZON Projects,delivered
HORIZON Publications,delivered
HORIZON Publications,delivered
HORIZON Publications,delivered
HORIZON Report summaries,delivered
HORIZON Projects,delivered
HORIZON Report summaries,delivered
